AT,V,AP,RH,PE,cooks_distance
26.12,75.6,1017.41,72.31,439.68,1.2307004651054298e-08
14.39,43.56,1012.97,59.17,469.35,1.8242291053716548e-05
18.25,43.14,1011.51,55.16,462.78,7.33114889328753e-06
14.08,39.31,1011.67,72.0,464.16,2.7150748934821726e-06
18.2,49.39,1018.83,96.3,455.86,1.8947009591961875e-05
22.72,58.82,1012.54,77.72,448.67,4.942434063549445e-10
8.69,40.81,1026.19,86.25,484.55,6.505241698238096e-05
31.08,59.57,1010.76,60.49,442.88,1.7410495452834275e-05
18.94,48.7,1007.82,92.88,453.36,2.639590882677193e-06
18.27,65.94,1013.09,84.72,450.33,1.2601154136481948e-07
16.27,56.89,1013.74,84.36,454.88,2.1669804732943774e-06
21.35,59.04,1012.28,95.71,445.83,1.4593473616766791e-05
14.74,42.77,1017.71,76.59,463.61,3.568262772465172e-06
12.24,41.2,1012.48,89.85,473.22,2.0995928467812878e-05
21.13,47.43,1006.97,64.26,448.83,1.3369962136213135e-05
14.03,44.88,1019.6,57.63,465.51,2.729754550179863e-06
10.95,39.22,1015.69,62.3,474.07,6.713472190161571e-06
18.26,69.94,1004.1,97.39,443.59,5.420774068712966e-06
13.8,39.39,1013.85,81.95,471.7,1.0747484776434479e-05
16.03,41.23,996.35,82.04,464.67,0.0001709450244441845
8.86,40.23,1017.57,90.47,478.05,1.2851162368257419e-05
22.86,58.96,1014.03,54.96,451.82,3.955528328096623e-06
19.17,52.9,1016.56,65.23,458.59,1.1697610345585152e-06
10.39,44.85,1014.22,78.42,478.05,4.95545573685666e-05
5.7,40.35,1012.18,91.57,488.8,0.0002241962114703068
15.93,25.88,1009.45,72.83,462.7,7.36466907471539e-05
8.9,40.77,1011.67,90.26,479.18,5.7127277269269316e-05
9.76,39.16,1014.19,85.4,482.38,7.333229553289549e-05
13.42,41.23,994.17,95.79,468.82,0.0003795929104728758
24.52,56.85,1012.59,54.47,438.89,4.4787999880216685e-05
32.45,66.44,1011.21,50.18,429.99,1.8522958177055724e-05
12.22,40.71,1021.25,80.83,477.07,2.1049802450906258e-05
13.15,42.44,1014.51,99.53,469.34,5.6930564665264894e-06
25.5,63.56,1013.85,64.69,442.28,1.5564234782566521e-06
29.57,67.83,1009.19,55.74,427.62,4.953205978154175e-05
13.56,41.48,1008.53,87.2,459.76,1.8558782896909463e-05
23.21,63.94,1013.56,80.23,446.11,2.186772942225436e-08
16.92,50.9,1013.27,82.97,460.86,1.5576084685842085e-06
22.71,59.43,1005.68,83.52,441.24,1.2996966028796994e-05
14.49,41.16,1000.5,82.17,465.24,4.759832885383859e-05
22.83,41.1,1002.0,38.62,449.99,1.157377408802327e-05
5.66,35.79,1013.86,94.42,484.15,4.694640944723532e-05
28.16,71.94,1007.69,68.17,430.46,1.4791589681817847e-05
18.83,48.98,1016.33,74.23,453.28,9.805182469091145e-06
31.27,73.91,1003.72,68.92,430.59,2.0893113405257026e-06
26.1,58.9,1004.18,71.63,444.4,6.54621388699167e-06
12.39,40.75,1016.05,81.91,475.96,2.288671121162212e-05
31.46,71.8,1010.75,54.88,434.96,3.944419823765912e-06
24.43,72.43,1008.03,85.56,434.71,1.921934484624066e-05
12.99,44.0,1025.22,90.27,470.93,6.652879833626346e-09
10.61,43.79,1016.03,76.33,480.28,6.03935049514763e-05
23.39,74.22,1009.83,86.05,439.92,8.047364591297447e-08
14.89,35.71,1015.1,55.11,469.37,1.3397380954859749e-06
22.25,59.8,1016.79,69.02,451.64,5.027680544028526e-07
10.72,41.17,1019.68,60.71,479.21,4.6764231319290764e-05
19.13,42.18,1001.45,98.77,456.04,2.5188585278671573e-06
20.27,63.09,1016.6,90.7,446.75,1.6993075663248177e-05
25.18,57.5,1015.07,60.76,449.01,9.937751863610676e-07
24.07,71.97,1008.83,94.87,441.84,5.137761356398331e-06
12.07,41.17,1013.54,71.32,479.28,7.308266050790831e-05
30.71,68.27,1007.76,68.04,428.27,2.249887082779044e-05
18.5,46.93,1015.0,66.81,455.63,5.6624776826976635e-06
14.43,39.82,1012.56,78.52,470.17,1.015295578662559e-05
19.35,50.12,1005.43,100.1,447.43,4.4024390758689326e-05
13.07,45.51,1015.22,78.65,460.14,1.4157666313983301e-05
4.84,38.5,1011.96,81.62,491.23,0.00027654070264894633
10.2,40.67,1016.15,73.2,482.26,7.206305259573764e-05
21.12,47.24,1003.79,70.55,462.41,0.00011619892959054899
32.48,69.89,1013.98,46.39,434.13,6.640313356886548e-08
9.15,44.03,1012.45,81.67,474.26,1.4621062125673922e-05
20.66,51.19,1008.81,88.93,447.14,2.032582821005554e-05
23.34,59.14,1017.47,78.91,439.6,6.356212738420556e-05
25.56,60.32,1016.28,59.84,445.01,1.3168195234456448e-06
11.6,40.96,1023.95,86.83,473.66,2.213732358750122e-07
24.77,58.41,1013.78,80.57,446.27,3.080478590013695e-07
22.36,58.79,1011.77,87.51,446.49,2.7383906803353573e-06
26.47,47.43,1009.09,54.94,439.4,8.397446896901582e-05
15.41,42.44,1012.6,86.74,472.28,4.181799052447739e-05
10.16,41.62,1013.15,94.3,465.05,2.0179261915741284e-05
18.16,39.99,1007.73,70.54,463.69,1.4493483052254626e-05
11.92,43.8,1022.96,60.49,470.33,1.3072448348153789e-06
29.04,76.09,1007.52,75.44,430.32,3.5630878876496917e-06
24.72,77.54,1008.39,81.03,438.52,3.843056099369805e-06
17.03,43.99,1021.5,82.32,460.25,1.742523760670413e-05
14.17,42.86,1030.94,66.47,466.2,8.446930490273116e-05
11.5,40.78,1023.91,86.31,467.74,3.129130786296183e-05
19.73,69.51,1013.14,61.84,450.99,9.951471073907641e-06
22.25,51.86,1013.08,83.64,451.04,8.240943800359772e-07
32.45,44.37,1005.05,44.37,429.81,0.00035511515014366126
25.82,59.43,1008.08,65.25,436.67,1.9890478528685445e-05
19.2,59.21,1017.84,89.56,450.86,1.0164312060817982e-05
19.15,59.21,1018.41,88.9,450.26,1.6155911036506712e-05
18.97,44.78,1007.87,47.98,463.46,6.105133027800054e-05
11.41,40.62,1015.56,57.62,466.83,1.3231957403033676e-05
29.19,70.32,1008.28,55.42,427.9,3.84496812942442e-05
16.2,65.46,1013.97,89.84,451.86,2.9613815279747415e-06
14.49,41.92,1030.3,56.62,463.81,0.0001671938168424307
19.64,56.53,1019.6,76.19,447.66,3.783018184087318e-05
20.77,69.51,1012.96,62.89,442.82,1.1487506220617843e-05
23.6,60.08,1017.51,63.02,451.97,4.029794490206639e-06
17.84,61.27,1020.1,70.68,454.57,1.941639792336176e-06
24.98,58.98,1010.34,78.56,441.33,6.767970717465425e-06
28.85,57.19,1008.2,58.4,436.8,1.281637530223197e-05
11.43,40.22,1010.84,81.04,477.5,6.096191912089768e-05
33.3,68.14,1003.02,53.43,426.88,6.54107215208323e-06
14.44,40.8,1025.05,56.59,472.95,7.097646636913162e-06
24.99,51.43,1006.95,79.63,441.45,2.4594928618887097e-05
21.67,50.32,1008.41,85.99,445.31,2.8061312789815084e-05
26.34,59.21,1013.37,58.98,439.22,1.701452069218564e-05
10.06,43.22,1014.1,85.7,473.0,6.030157086451261e-06
16.55,39.64,1009.07,77.8,465.29,7.510498474657541e-06
23.31,60.08,1017.14,64.35,452.65,5.208811797085233e-06
23.47,51.3,1011.89,74.1,448.65,1.9514621654210594e-06
14.05,39.59,1011.2,94.54,464.63,1.1637272512695551e-06
30.53,73.21,1000.37,74.17,430.2,2.41911652257848e-06
22.49,62.96,1020.21,78.99,447.48,6.9979301981526785e-06
15.21,43.5,1021.6,82.06,464.08,6.941367844327689e-06
18.24,59.15,1012.0,84.4,449.48,6.391623349914221e-06
16.34,41.48,1015.92,48.24,453.6,0.00015968586340588605
19.94,65.46,1017.7,68.94,448.67,4.128088910712377e-06
14.09,45.87,1009.05,84.09,465.6,7.304762303872783e-06
24.54,66.49,1011.1,69.14,437.38,1.2822206458974855e-05
22.78,58.59,1012.84,65.55,445.45,3.6153975957667817e-06
18.22,39.63,1005.11,79.0,465.78,6.127790101814001e-05
21.19,74.93,1015.75,80.84,443.29,2.9208007680915455e-06
9.96,39.66,1015.23,82.98,480.6,4.584765594262255e-05
28.95,66.75,1018.22,60.48,432.39,7.20634382178271e-05
15.52,42.86,1015.09,83.48,467.12,3.397307032994133e-06
14.15,39.28,1013.5,77.63,471.23,1.0603024142595609e-05
27.44,47.93,1002.71,59.44,437.76,6.345557506517814e-05
6.5,41.14,1028.15,86.78,480.96,3.37007030002618e-07
11.37,39.16,1016.54,87.05,480.54,5.4096077211640034e-05
19.46,47.03,1013.9,88.86,460.57,5.18516384408589e-06
22.25,60.84,1018.07,73.67,443.99,2.366110655831877e-05
22.01,58.46,1016.26,75.99,443.75,2.1808585084747224e-05
31.53,70.94,1007.11,50.04,431.84,3.3512333013498006e-08
15.11,42.99,1007.53,85.75,466.25,1.751954060093447e-05
19.8,49.15,1020.88,61.88,461.78,3.954018325584186e-06
6.75,39.37,1020.26,70.99,486.26,7.578702964847418e-05
5.21,43.65,1017.64,78.62,486.08,0.00010282852066624685
19.1,43.79,1016.02,77.34,462.28,1.7309605983473134e-06
14.95,43.72,1010.28,93.62,459.31,8.920300623914792e-06
18.99,44.58,1018.29,54.71,468.35,4.458291115468156e-05
13.35,41.16,1011.32,89.12,474.57,5.182375543035977e-05
25.31,74.33,1015.04,79.88,436.21,1.6943161873697342e-05
25.64,63.47,1012.33,68.35,442.62,2.3560600442555585e-07
13.56,49.83,1007.01,89.86,466.33,3.468139209623058e-05
29.01,68.08,1010.74,52.51,427.91,6.570279912235966e-05
25.3,71.29,1007.86,62.98,437.17,1.613209156061519e-06
6.25,39.48,1004.82,52.71,484.26,0.0005050277586614138
7.67,35.77,1017.55,60.97,480.06,1.0461816997712727e-05
12.63,41.48,1009.61,87.69,461.09,1.8372182778111812e-05
23.09,70.47,1010.76,79.89,439.36,7.3479325767029704e-06
13.48,41.92,1030.2,65.96,463.9,0.00017693198464066896
33.94,74.67,1015.94,28.16,427.98,2.5950603456864503e-05
16.18,43.99,1021.97,80.96,460.81,2.1319691657968208e-05
8.27,38.56,1016.47,66.6,485.31,0.00011031619447791909
28.37,75.6,1017.48,55.19,439.25,4.374477933237242e-06
24.85,70.47,1006.64,85.37,434.47,1.8583850120657353e-05
24.27,60.23,1011.84,77.8,438.99,1.9919111259526782e-05
10.81,45.0,1023.45,85.89,482.63,0.00010160927214854004
26.61,72.43,1007.71,75.82,427.61,6.182793041266658e-05
22.07,48.41,1008.71,81.29,444.01,4.380411486496568e-05
29.35,68.31,1010.46,46.2,445.86,8.643130085186573e-05
9.13,40.02,1031.08,74.76,473.47,6.942208579011937e-05
10.95,40.81,1016.19,77.96,474.36,6.756541532110067e-06
27.11,70.04,1009.76,71.25,431.96,2.059656328807075e-05
26.85,75.6,1017.43,74.55,433.48,3.769355037634539e-05
26.22,67.45,1013.7,44.04,440.17,3.00701193540546e-06
26.88,74.78,1010.42,64.81,440.84,1.5222154313444483e-05
29.45,64.96,1005.52,59.92,433.04,5.752758638197701e-06
15.49,40.89,1007.16,82.16,465.37,1.0198598054128215e-05
13.16,54.3,1017.33,82.43,468.4,1.6201459810198146e-05
25.34,69.48,1008.4,74.79,433.81,1.9951590716423702e-05
17.36,41.23,998.08,63.46,459.1,2.185491028706162e-05
22.89,74.78,1009.79,81.57,443.7,1.084759247883517e-05
28.72,76.86,999.31,71.74,431.74,1.2918039747498892e-05
25.01,66.56,1004.55,82.46,434.74,2.0051833827167853e-05
16.74,39.16,1005.68,71.17,460.47,1.5363390340310338e-07
13.86,37.85,1011.4,89.7,469.94,8.229339255602955e-06
15.86,40.66,1016.23,86.74,455.85,5.8595193296861363e-05
13.45,41.49,1020.19,88.72,467.3,3.126801459212884e-06
22.24,60.07,1015.93,62.25,446.14,7.1861615840282065e-06
7.67,41.66,1016.25,77.0,485.03,9.708647396758154e-05
11.72,39.18,1024.19,68.53,468.98,2.72902890804453e-05
16.34,47.45,1009.41,92.96,448.59,8.505502271478077e-05
10.97,40.6,1015.0,87.59,478.69,4.213531457373493e-05
10.79,43.56,1015.15,73.01,479.64,6.281499201426408e-05
21.11,69.94,1004.37,84.26,439.91,6.9888551983895755e-06
18.8,47.83,1005.86,76.77,453.9,7.399429234570481e-07
13.14,43.71,1024.47,87.42,467.07,1.28102005387194e-05
8.5,39.16,1014.1,86.64,485.76,0.00011898625720177317
6.67,39.37,1020.31,73.56,488.13,0.00010525130825328543
24.03,45.87,1007.55,52.48,445.84,3.0118809313692857e-05
10.48,39.58,1011.81,88.86,472.61,5.311989094051578e-06
8.58,38.38,1021.03,84.37,482.26,2.7350488389008384e-05
27.16,65.61,1014.21,47.93,441.33,1.328148230052954e-07
22.29,56.89,1014.39,84.89,441.9,4.048643970028038e-05
24.22,56.89,1013.81,70.02,440.79,2.068068808733669e-05
24.88,73.17,1012.26,84.96,434.85,2.7021167582438148e-05
17.25,39.39,1014.27,67.8,465.74,2.662477483519195e-06
5.02,45.87,1007.8,99.22,481.03,0.0001737499355209753
23.46,72.43,1008.0,90.55,435.36,2.7389856338634285e-05
29.62,70.02,1010.09,43.1,439.35,1.815318681086524e-05
15.02,41.48,1015.19,58.69,456.04,7.695578770442196e-05
20.71,49.69,1010.26,69.97,455.69,1.316087336535805e-06
7.26,41.22,1014.86,97.82,488.75,0.00022414677218057273
9.68,39.61,1015.63,74.5,475.02,4.195913405886898e-06
14.12,39.52,1018.41,78.32,465.09,7.7516605702575e-06
15.31,52.75,1025.21,55.22,460.77,2.4843957871279652e-05
3.74,35.19,1018.58,98.84,490.5,9.340435767648286e-05
23.94,62.08,1022.47,61.97,447.5,7.609116682099524e-06
10.15,41.46,1019.56,81.79,479.32,2.6809334774286238e-05
24.64,72.24,1011.37,80.61,434.54,2.737085832044297e-05
14.66,43.13,1014.97,46.31,467.87,8.735757119816665e-06
22.12,57.19,1007.56,76.5,442.51,1.3116201516904374e-05
9.59,38.56,1017.01,60.1,481.3,6.626849786844844e-05
31.38,71.32,1009.17,60.42,433.44,7.749453036756546e-07
12.38,45.51,1016.15,81.37,470.46,4.583315002084485e-06
22.35,65.61,1016.27,73.93,448.41,2.6642076459322296e-07
29.95,73.42,1011.44,66.32,432.81,1.1695057996143091e-06
29.44,64.33,1011.4,61.78,442.32,9.08044701713732e-06
32.83,74.33,1011.44,50.42,427.36,1.1464458744472965e-05
16.86,39.63,1004.47,83.5,466.68,6.034841325343173e-05
25.6,66.48,1006.16,69.34,435.12,1.2069607827565202e-05
24.56,66.75,1018.5,77.47,435.03,0.00010120700368348582
18.83,47.83,1005.58,77.07,454.23,2.0894592798043976e-07
18.12,43.69,1016.91,52.95,464.68,6.245831815213166e-06
22.09,65.59,1015.54,72.44,447.28,1.0571884658537802e-07
12.28,39.96,1011.76,77.07,468.0,5.573755757905611e-09
5.98,41.31,1001.66,89.5,484.51,0.0005559929562370254
22.36,64.15,1021.05,68.43,453.94,1.1952101392363133e-05
22.05,63.31,1012.39,76.95,444.37,3.626553637711618e-06
27.55,68.08,1011.42,60.71,432.59,2.322826813815346e-05
8.23,43.79,1016.11,82.11,484.67,0.00010834602979335376
16.8,56.03,1020.65,85.26,461.96,3.9666255916719254e-06
5.35,35.57,1027.12,80.81,488.65,3.644003796698721e-05
11.91,43.22,1008.75,76.57,472.88,4.34289294626248e-05
24.73,70.72,1009.82,88.79,439.3,7.542405182486444e-07
8.22,40.77,1009.11,95.61,480.38,0.00011552728271643019
25.24,57.17,1010.44,74.0,442.77,3.6437236783935273e-06
21.52,50.66,1013.56,74.33,455.71,1.1737352022718994e-06
26.45,64.27,1013.23,60.92,444.9,2.704163531120893e-06
8.47,40.46,1019.87,78.19,475.06,2.946281092232596e-08
30.39,71.8,1010.87,64.11,435.82,2.399255479285122e-06
32.89,73.68,1014.45,52.34,426.46,3.7481275432300654e-05
14.55,42.74,1028.41,70.09,465.81,4.4476214976808564e-05
31.86,73.88,1005.6,57.68,435.91,4.146758034181663e-05
18.03,58.86,1015.99,89.03,450.33,1.4837905888708297e-05
18.66,56.53,1020.13,80.04,459.45,3.144195850930925e-06
16.39,58.59,1014.58,90.34,455.05,1.416549524124851e-06
23.3,72.99,1008.54,92.11,437.62,9.024472010717165e-06
22.49,61.27,1019.6,57.1,448.51,4.807050304612146e-06
15.27,56.89,1013.28,86.92,456.72,8.671860975911079e-07
18.36,53.16,1013.31,83.18,458.47,1.799659724283604e-06
11.98,39.35,1014.97,98.05,472.43,7.0277074728638504e-06
20.6,45.38,1014.93,75.78,460.24,3.3595895750636685e-06
22.93,51.19,1009.3,82.8,443.57,2.793070407840368e-05
15.06,41.85,1016.78,88.23,466.72,3.0891411541340394e-07
26.3,61.41,1012.45,56.85,448.55,1.2863901874071277e-05
10.42,41.26,1008.48,96.76,472.54,2.558414757027053e-05
11.77,41.06,1021.45,76.63,475.88,1.0476305505306016e-05
8.24,39.61,1017.99,78.42,477.9,5.796806708808267e-06
23.19,42.67,1007.83,63.31,446.95,4.11707206153254e-05
27.2,65.18,1011.47,47.14,436.99,1.2595439456815537e-05
26.99,68.12,1011.45,58.48,436.95,4.272665136079947e-06
5.66,39.42,1024.7,78.52,482.11,2.1925250758431694e-06
14.81,39.58,1011.62,73.64,467.32,2.7477849842326845e-06
23.19,49.82,1014.59,70.52,451.08,1.4755841597905684e-06
30.82,76.2,1007.47,59.3,432.22,3.4425799861464727e-06
19.72,65.94,1010.53,82.12,446.84,1.0314392131978506e-06
23.93,64.05,1013.09,86.02,440.66,1.4439747480282494e-05
14.3,42.99,1007.32,73.72,467.9,2.4567538779142432e-05
19.16,63.09,1017.71,91.15,449.51,1.0575801784029507e-05
24.51,65.12,1016.18,62.39,447.46,2.089124450349649e-06
13.97,52.05,1012.05,85.36,463.64,3.6216117803560377e-06
12.41,39.28,1017.08,87.02,473.86,8.343998262189545e-06
25.07,56.85,1011.25,51.99,442.44,1.1361769268471052e-05
25.77,73.68,1014.18,87.53,429.84,0.00011862119897921222
14.95,42.99,1008.75,90.76,468.61,3.3350528177053706e-05
20.02,58.66,1011.5,76.74,454.21,2.643583345114012e-06
12.36,52.75,1026.04,68.71,465.14,1.4129395226226336e-05
21.7,64.69,1007.93,78.37,448.76,6.520487057304117e-06
16.95,40.12,1012.59,87.87,457.05,2.6115904073472525e-05
12.22,40.78,1024.02,85.46,464.12,7.19848694488949e-05
23.21,58.66,1012.24,65.31,450.92,2.484047065363171e-06
22.72,62.4,1010.28,80.79,445.22,3.9977699193441375e-07
13.54,40.69,1015.85,77.55,471.05,4.749837750202477e-06
23.0,63.78,1015.85,70.46,444.62,4.206779444852694e-06
23.56,73.67,1007.13,87.1,439.27,2.9784038491935698e-08
19.64,44.6,1015.88,47.56,467.53,7.296782336813394e-05
21.98,58.79,1010.72,86.85,448.84,1.8526661783949105e-08
20.64,61.86,1012.81,99.97,447.14,7.282546389580249e-06
13.72,49.83,1006.88,89.49,463.65,1.2262020059783626e-05
26.24,51.43,1011.32,59.52,447.91,1.355147839597541e-07
6.97,41.26,1010.6,96.88,484.71,0.00018686354092604113
24.67,69.14,1006.25,88.51,440.03,3.8023696199220223e-07
23.6,48.98,1015.41,48.28,448.43,2.4011168411397333e-05
13.45,45.87,1008.42,87.74,464.59,2.9064003826130513e-06
24.84,71.73,1009.84,82.41,436.36,9.166842256970989e-06
11.95,40.69,1015.62,85.34,475.4,1.8859524147772203e-05
17.13,42.86,1014.15,73.6,463.09,2.719139166302682e-07
19.92,38.52,1018.15,60.68,451.16,0.000146284331043278
30.1,67.45,1014.23,39.04,434.01,2.0087291240581184e-05
30.48,70.04,1010.73,53.7,429.85,1.9078631264668796e-05
13.07,38.47,1015.16,57.26,468.9,9.18874500490315e-08
15.63,41.79,1006.7,78.28,455.24,3.323193889247452e-05
21.83,57.85,1012.49,75.16,448.21,9.186286388554467e-07
24.38,57.17,1009.85,74.46,444.59,1.284220510809919e-06
33.82,73.03,1013.49,42.17,439.3,0.0001072432773100065
10.8,39.58,1011.99,87.54,478.24,5.3570981552329206e-05
9.86,41.01,1018.49,98.71,467.37,2.8345942457355867e-05
25.82,66.49,1013.2,60.32,434.35,3.429849933711898e-05
10.06,34.69,1027.9,71.73,477.68,4.117554537841011e-06
19.06,50.16,1011.36,99.64,449.74,3.774813477294269e-05
22.53,60.95,1015.12,75.1,449.43,6.499400721889317e-08
8.67,36.66,1026.8,84.36,480.38,1.1637342334862966e-06
22.03,64.79,1017.95,76.2,450.25,8.8535036148758e-07
16.81,42.86,1013.83,77.11,464.36,1.4894844717521472e-06
26.0,69.88,1007.99,87.07,434.79,1.2443040703192376e-05
12.34,40.1,1015.77,92.26,470.92,1.7757337759341871e-06
17.49,40.55,1001.73,73.15,462.37,3.522367745404725e-05
10.13,38.16,1013.57,79.04,474.92,6.854190311386106e-06
18.32,47.83,1005.06,87.21,454.11,8.324765941630475e-07
20.15,65.59,1014.62,79.39,449.84,8.522766180594985e-08
14.65,41.92,1030.61,63.07,464.95,0.00011510641446274821
21.03,69.05,1002.17,75.35,444.35,7.921832295438841e-06
17.45,42.28,1007.64,69.19,463.83,1.5264718396563525e-05
12.03,40.75,1015.93,85.07,474.97,1.5926584989278934e-05
24.2,50.78,1008.74,59.32,443.09,2.380208908996792e-05
22.58,41.54,1013.21,71.33,460.95,1.8012589284314016e-05
11.81,40.75,1016.13,84.14,477.22,2.8759089730277188e-05
18.95,65.48,1018.17,71.85,452.85,1.92207065430077e-07
24.33,46.93,1013.72,48.27,447.43,3.0682151481841185e-05
7.94,35.77,1017.04,63.22,480.38,1.613159096029237e-05
16.07,44.58,1019.52,67.95,471.36,2.288040645618312e-05
15.33,43.13,1015.41,53.17,466.86,4.14645229629129e-06
5.91,39.33,1010.18,95.53,491.49,0.0004065611601748987
23.25,59.87,1018.69,66.4,444.23,2.1427732994038188e-05
23.27,60.84,1019.13,67.24,440.22,6.161081913102538e-05
20.46,51.43,1010.06,83.79,456.7,5.745005334195659e-06
32.34,74.99,1002.77,42.83,433.07,5.553686831589189e-05
9.53,38.38,1020.49,80.08,478.03,5.871442212486795e-06
22.23,46.93,1013.09,58.02,448.27,2.728679348178808e-05
5.66,40.0,1022.08,93.03,475.54,1.7077008115273108e-05
6.05,38.68,1017.46,66.13,483.5,4.2823426482676404e-05
25.14,60.93,1007.44,76.71,437.4,1.592369209176607e-05
10.17,40.46,1018.54,68.21,470.33,5.134819498357276e-06
24.39,70.72,1009.78,82.25,442.04,1.7136836052085384e-06
21.07,67.07,1004.64,86.16,446.05,6.251268603525702e-06
21.54,69.48,1011.04,80.48,443.15,1.9680082765207105e-06
20.75,60.77,1017.91,86.06,448.58,9.424312708305625e-06
10.06,39.61,1020.69,69.49,478.35,1.4137359815448912e-05
24.22,68.51,1013.23,74.96,440.01,5.6305129646394384e-06
14.79,39.52,1017.95,71.97,469.47,1.4623570145812203e-06
25.5,67.83,1009.29,61.29,437.49,5.113597970590327e-06
30.98,67.48,1009.96,58.92,439.39,1.5060066409105154e-05
15.19,41.43,1011.34,89.67,470.41,3.124597592194122e-05
10.23,42.32,1017.53,89.93,473.59,2.960309154466867e-06
18.87,52.05,1012.02,53.46,458.64,6.4111951260802284e-06
26.81,56.57,1013.68,61.6,442.94,4.145463821810634e-06
14.95,43.52,1022.43,94.75,464.98,8.765772344959164e-06
9.93,40.67,1018.08,69.74,485.23,0.00011495385396355994
14.43,38.91,1013.28,70.26,468.83,3.0444426434254263e-06
3.96,35.47,1016.79,83.81,489.68,8.586894785336222e-05
22.7,48.14,1014.06,60.09,448.96,1.5038354687032365e-05
25.14,67.32,1013.96,41.78,435.39,7.970992431399109e-05
